MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.012695 s         4/21/2023 2:10:45 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.0014194576 -0.80771744 0.020507813
-0.00068691641 -0.99882483 0.030273438
0.00024145811 0.6493926 0.040039063
0.00011804912 -0.58434904 0.049804688
-0.00047058388 -0.053569674 0.059570313
-0.00017369326 -0.84273517 0.069335938
-0.00025577613 0.87499619 0.079101563
-6.2068604e-05 -0.24758279 0.088867188
-0.00039348079 -0.82977116 0.098632813
-0.0006710384 -1.2233108 0.10839844
-0.00070066849 -0.1359731 0.11816406
-0.0017648748 0.29236078 0.12792969
-0.001705857 1.1634082 0.13769531
-0.0025055183 0.69543719 0.14746094
-0.002756709 0.088438392 0.15722656
-0.0021732049 -1.373589 0.16699219
-0.0022630759 -1.9591302 0.17675781
-0.0029415777 0.81717968 0.18652344
-0.0017008111 0.89302659 0.19628906
-0.0024025065 -1.2017787 0.20605469
-0.0030799336 -2.3107231 0.21582031
-0.0031334853 0.2669543 0.22558594
-0.0026155305 -1.3847649 0.23535156
-0.0039960817 -1.2747943 0.24511719
-0.0039504333 -0.52258372 0.25488281
-0.0049419282 -0.36433339 0.26464844
-0.0045508253 -0.66488981 0.27441406
-0.0050516273 -1.5223026 0.28417969
-0.0051972782 -2.0820646 0.29394531
-0.0049862238 0.78529119 0.30371094
-0.0059149112 -0.059083104 0.31347656
-0.0061345366 -0.16741455 0.32324219
-0.0062348731 -0.90040267 0.33300781
-0.00609812 -1.283437 0.34277344
-0.0077075353 -0.76517463 0.35253906
-0.0064432882 -0.26665628 0.36230469
-0.0067597129 0.07674098 0.37207031
-0.0068309028 -1.173988 0.38183594
-0.0070222099 -0.52429736 0.39160156
-0.0075570182 -1.4410168 0.40136719
-0.0073498669 -0.39644539 0.41113281
-0.0069689681 -1.1627376 0.42089844
-0.006895144 0.35844743 0.43066406
-0.0075495024 0.36038458 0.44042969
-0.008378827 -0.020265579 0.45019531
-0.0091870027 -1.4065951 0.45996094
-0.008774953 0.11913478 0.46972656
-0.010010567 0.15616417 0.47949219
-0.010681055 0.5992502 0.48925781
-0.01078256 -0.27127564 0.49902344
-0.010211323 0.70758164 0.50878906
-0.01034643 -0.23536384 0.51855469
-0.0098638851 0.76897442 0.52832031
-0.010681933 -0.10430813 0.53808594
-0.010446026 -0.7019937 0.54785156
-0.011460034 1.1652708 0.55761719
-0.011369276 0.83610415 0.56738281
-0.010890021 -0.65304339 0.57714844
-0.011992652 -0.11518598 0.58691406
-0.012653465 -2.4738908 0.59667969
-0.011882208 -2.1056085 0.60644531
-0.012276895 0.62413514 0.61621094
-0.012400663 -0.099018216 0.62597656
-0.012139929 -0.94182789 0.63574219
-0.012683631 -2.5083871 0.64550781
-0.013487319 0.43570995 0.65527344
-0.013540918 -0.016689301 0.66503906
-0.014117418 0.56676567 0.67480469
-0.013865096 -0.076368451 0.68457031
-0.014326985 -0.27894974 0.69433594
-0.01475092 -0.31933188 0.70410156
-0.014490278 0.43705106 0.71386719
-0.014953532 -0.67397952 0.72363281
-0.01522498 -0.69119036 0.73339844
-0.014737084 -0.52675605 0.74316406
-0.014596774 -0.083744526 0.75292969
-0.014908059 0.19997358 0.76269531
-0.015691249 -1.1194497 0.77246094
-0.016610008 0.21152198 0.78222656
-0.016430942 -0.38430095 0.79199219
-0.016345359 -1.3405085 0.80175781
-0.01652425 -1.2657791 0.81152344
-0.017259344 -0.9663403 0.82128906
-0.017119242 -0.36254525 0.83105469
-0.017855601 -1.8231571 0.84082031
-0.018654233 -0.11391938 0.85058594
-0.018442431 -0.39599836 0.86035156
-0.018368853 -0.19960105 0.87011719
-0.01897501 0.22426248 0.87988281
-0.01911046 -0.36306679 0.88964844
-0.018333727 0.033825636 0.89941406
-0.018624259 -0.78611076 0.90917969
-0.019897178 -1.3067573 0.91894531
-0.020440822 0.41313469 0.92871094
-0.020745335 0.20816922 0.93847656
-0.019824931 -1.0293722 0.94824219
-0.019495854 -1.9796193 0.95800781
