MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.012695 s         5/23/2023 2:14:29 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.00021298701 3.5403669 0.020507813
-0.0001346128 0.77731907 0.030273438
0.00048251377 2.1703541 0.040039063
0.0003696396 3.0886383 0.049804688
-9.693575e-05 3.1201541 0.059570313
4.224962e-05 -0.28349459 0.069335938
-0.00026359659 -0.35405159 0.079101563
-0.00023324508 3.1623244 0.088867188
-0.0012997144 1.9866228 0.098632813
-0.0013052841 4.2191892 0.10839844
-0.00084442791 2.6173143 0.11816406
-0.0024356355 3.632009 0.12792969
-0.0024091196 5.5421143 0.13769531
-0.0026481238 3.1618028 0.14746094
-0.0034995931 2.9858947 0.15722656
-0.0028910995 4.7519059 0.16699219
-0.003506562 3.8342178 0.17675781
-0.00429032 2.4950504 0.18652344
-0.0037647837 3.7484617 0.19628906
-0.0039338889 2.0781159 0.20605469
-0.0050857076 5.0657988 0.21582031
-0.0055485056 3.0298531 0.22558594
-0.0037467636 2.2213161 0.23535156
-0.0045309234 4.9508362 0.24511719
-0.0043674381 6.0895829 0.25488281
-0.0043458752 1.3326108 0.26464844
-0.0045489417 -0.76375902 0.27441406
-0.0045858035 2.2386014 0.28417969
-0.0052075875 4.6654792 0.29394531
-0.0042882371 2.3458152 0.30371094
-0.0050224685 1.7976761 0.31347656
-0.0062556639 1.2663752 0.32324219
-0.0067320005 1.3238937 0.33300781
-0.006395624 5.8724732 0.34277344
-0.0068048532 3.7183614 0.35253906
-0.0064812279 3.1224637 0.36230469
-0.0075908201 1.3776124 0.37207031
-0.0086574657 0.75370073 0.38183594
-0.0081470953 2.392158 0.39160156
-0.0070582507 3.7781148 0.40136719
-0.0084623462 4.9722939 0.41113281
-0.0085266894 2.7758627 0.42089844
-0.0077386894 3.2986701 0.43066406
-0.008143669 3.9976835 0.44042969
-0.0083020255 5.3011627 0.45019531
-0.0086055435 4.5863538 0.45996094
-0.0094658835 2.5568156 0.46972656
-0.0081435554 3.6936998 0.47949219
-0.0084226085 3.7469716 0.48925781
-0.008755126 2.3680925 0.49902344
-0.0097079929 4.4494123 0.50878906
-0.0097108427 0.19267201 0.51855469
-0.010005563 2.7792156 0.52832031
-0.011033727 4.2828174 0.53808594
-0.010368125 2.5311856 0.54785156
-0.010641746 0.47206879 0.55761719
-0.011268681 2.9268861 0.56738281
-0.011599361 5.1816554 0.57714844
-0.012837376 2.2517891 0.58691406
-0.01230301 1.5868247 0.59667969
-0.013311158 0.95687807 0.60644531
-0.013633902 -0.7622689 0.61621094
-0.013543453 0.61534345 0.62597656
-0.013293914 1.1660159 0.63574219
-0.013137208 1.7862022 0.64550781
-0.014197915 -0.020042062 0.65527344
-0.013677319 -0.37007034 0.66503906
-0.013227119 2.848208 0.67480469
-0.013025641 2.7756393 0.68457031
-0.013420885 0.80391765 0.69433594
-0.012984231 0.53294003 0.70410156
-0.014147426 -0.43384731 0.71386719
-0.014564526 3.8505344 0.72363281
-0.015882945 0.80913305 0.73339844
-0.016151479 0.6570667 0.74316406
-0.015912317 5.9604645 0.75292969
-0.016255014 3.8938224 0.76269531
-0.016765513 1.661703 0.77246094
-0.016561842 3.5818667 0.78222656
-0.016553998 3.1536818 0.79199219
-0.015998403 4.3760986 0.80175781
-0.015771605 2.9755383 0.81152344
-0.017278887 0.39346516 0.82128906
-0.017675808 -1.8428266 0.83105469
-0.01775099 2.1983683 0.84082031
-0.01864399 2.7420373 0.85058594
-0.019887105 0.43809414 0.86035156
-0.01957369 2.0110607 0.87011719
-0.018461324 4.8749895 0.87988281
-0.018499503 3.2696872 0.88964844
-0.019524496 0.8635968 0.89941406
-0.020532925 3.1681359 0.90917969
-0.0215733 2.4915485 0.91894531
-0.021446133 5.2401423 0.92871094
-0.021511069 3.3245981 0.93847656
-0.020844664 3.9051473 0.94824219
-0.020177193 1.5672296 0.95800781
-0.021063413 -0.48317015 0.96777344
-0.021449506 2.2593884 0.97753906
-0.02090448 1.7672777 0.98730469
