MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     20.011719 s         4/24/2023 12:50:43 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Flexión.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00018297904 -1.9606203 0.01953125
0.00013424439 -1.9456446 0.029296875
-0.00019060515 -2.4673343 0.0390625
1.8672348e-05 -2.0647049 0.048828125
-0.00069939718 -3.0358882 0.05859375
-0.00066267198 -3.1663477 0.068359375
-0.0006699448 -1.584962 0.078125
-0.0012875026 -1.6884506 0.087890625
-0.0014639057 -3.1540542 0.09765625
-0.002060527 -1.4717132 0.10742188
-0.0025766694 -2.1264701 0.1171875
-0.0022066582 -1.7414987 0.12695313
-0.0023069554 -1.5475601 0.13671875
-0.0017796099 -1.6703457 0.14648438
-0.0013459933 -2.4151802 0.15625
-0.0024134815 -1.6704202 0.16601563
-0.0035165311 -2.4226308 0.17578125
-0.0028980658 -3.1190367 0.18554688
-0.0028316963 -1.6708672 0.1953125
-0.0029106054 -1.9962341 0.20507813
-0.003037422 -2.8012693 0.21484375
-0.0041988846 -1.790449 0.22460938
-0.003216034 -0.6595999 0.234375
-0.0033818218 -0.67606568 0.24414063
-0.0045012324 -0.74565411 0.25390625
-0.0047265957 -2.3762882 0.26367188
-0.0052367807 -2.0867586 0.2734375
-0.0056268447 -1.6623735 0.28320313
-0.0057346933 -0.053867698 0.29296875
-0.0060185911 -0.016465783 0.30273438
-0.0056557525 -1.7613918 0.3125
-0.005699642 -2.1031499 0.32226563
-0.0064705252 -2.4275482 0.33203125
-0.006704038 -1.9969791 0.34179688
-0.0069636693 -1.3457239 0.3515625
-0.0070329099 -1.8496811 0.36132813
-0.0076159639 -2.7285516 0.37109375
-0.0076466394 -2.28405 0.38085938
-0.0079146996 -2.7416646 0.390625
-0.0081634345 -1.7817318 0.40039063
-0.0083509171 -1.9658357 0.41015625
-0.0085757961 -2.7656555 0.41992188
-0.0077756057 -2.7802587 0.4296875
-0.008381499 -0.77798963 0.43945313
-0.0099380352 -0.77061355 0.44921875
-0.0093812142 -2.3593009 0.45898438
-0.0092996629 -1.8140674 0.46875
-0.0092745265 -2.4786592 0.47851563
-0.010058588 -1.976341 0.48828125
-0.010262784 -2.3321807 0.49804688
-0.010675326 -3.6309659 0.5078125
-0.011431099 -1.9517541 0.51757813
-0.011725143 -1.957342 0.52734375
-0.012635466 -1.5796721 0.53710938
-0.011897271 -2.4383516 0.546875
-0.012284286 -2.8576703 0.55664063
-0.011770491 -2.3234634 0.56640625
-0.013239105 -3.002435 0.57617188
-0.012860056 -1.898855 0.5859375
-0.013233141 -1.4644116 0.59570313
-0.012764387 -0.8802861 0.60546875
-0.012757376 -2.8935819 0.61523438
-0.012833465 -2.8403103 0.625
-0.012610982 -3.7192554 0.63476563
-0.013707457 -1.4899671 0.64453125
-0.013318809 -2.5508552 0.65429688
-0.014640696 -2.1601467 0.6640625
-0.014162188 -1.2512505 0.67382813
-0.013645249 -2.2989511 0.68359375
-0.015321855 -1.6143173 0.69335938
-0.016068244 -2.03304 0.703125
-0.015566214 -1.6669929 0.71289063
-0.016400874 -3.5566092 0.72265625
-0.016775709 -2.481267 0.73242188
-0.016428905 -3.0265749 0.7421875
-0.016923498 -1.7900765 0.75195313
-0.017656308 -1.0096282 0.76171875
-0.017047888 -1.1707842 0.77148438
-0.017697839 -2.4011731 0.78125
-0.017671689 -2.2111833 0.79101563
-0.017233642 -2.3142247 0.80078125
-0.018565852 -1.1873245 0.81054688
-0.018115751 -1.0702014 0.8203125
-0.017784314 -2.707094 0.83007813
-0.017947124 -1.7289072 0.83984375
-0.018467724 -2.0488353 0.84960938
-0.018787922 -2.3020058 0.859375
-0.018747468 -2.9058008 0.86914063
-0.018241646 -4.4216213 0.87890625
-0.019419637 -2.1196902 0.88867188
-0.019777192 -2.7655065 0.8984375
-0.02004406 -1.7962605 0.90820313
-0.019773446 -1.5037507 0.91796875
-0.020912683 -3.0428915 0.92773438
-0.02219817 -1.79708 0.9375
-0.021332638 -2.4211407 0.94726563
-0.021326458 -2.2351742 0.95703125
