MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.2939453 s         4/25/2023 2:39:53 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.0003843219 0.44852495 0.01953125
0.00038167927 0.50775707 0.029296875
0.00017811544 0.37707388 0.0390625
0.00014093239 -0.041499734 0.048828125
0.0034568366 1.4065951 0.05859375
0.017061643 6.5986066 0.068359375
0.034062762 14.25825 0.078125
0.050840702 21.448956 0.087890625
0.06693016 28.547049 0.09765625
0.083422787 35.270676 0.10742188
0.10024683 40.812939 0.1171875
0.11705583 47.846512 0.12695313
0.13230649 55.520012 0.13671875
0.14975682 62.338039 0.14648438
0.1657341 69.086182 0.15625
0.18316543 75.921265 0.16601563
0.19981661 81.804245 0.17578125
0.21608512 88.456871 0.18554688
0.23243834 95.43158 0.1953125
0.24859038 102.44429 0.20507813
0.26562116 109.5017 0.21484375
0.28183976 115.50575 0.22460938
0.29847899 121.54192 0.234375
0.31545642 127.70459 0.24414063
0.33217573 134.65881 0.25390625
0.34859818 140.94748 0.26367188
0.3654826 147.95795 0.2734375
0.38126844 154.24498 0.28320313
0.39771324 159.37962 0.29296875
0.41451514 165.8006 0.30273438
0.43137473 171.62018 0.3125
0.44778892 177.9899 0.32226563
0.46392795 185.21368 0.33203125
0.48139286 191.29984 0.34179688
0.49723813 196.94083 0.3515625
0.51447093 202.00543 0.36132813
0.53031218 207.9706 0.37109375
0.54700589 212.15349 0.38085938
0.56356049 218.31073 0.390625
0.58038777 224.5421 0.40039063
0.59682351 230.06343 0.41015625
0.61374271 235.32614 0.41992188
0.630472  240.43739 0.4296875
0.6469453 245.32013 0.43945313
0.6636799 250.9357  0.44921875
0.67994225 256.70706 0.45898438
0.69587392 261.52701 0.46875
0.71318007 266.23724 0.47851563
0.73366988 30.852333 0.48828125
0.74934369 -20.846649 0.49804688
0.7667042 -18.070339 0.5078125
0.78065205 1.4341623 0.51757813
0.79813844 0.67688525 0.52734375
0.81496233 -0.69499016 0.53710938
0.8306089 -2.541244 0.546875
0.84798396 -5.9964509 0.55664063
0.86560923 -1.7658621 0.56640625
0.88144267 2.8972328 0.57617188
0.89776736 0.71048737 0.5859375
0.91392511 -2.5542827 0.59570313
0.93057013 -4.4205041 0.60546875
0.94681323 -2.9752402 0.61523438
0.96437377 -1.7914921 0.625
0.98083472 -1.0387599 0.63476563
0.99716979 -0.08136034 0.64453125
1.0133085 -0.62763691 0.65429688
1.030135  -1.5866756 0.6640625
1.0469472 -2.309829 0.67382813
1.0638933 -2.9546022 0.68359375
1.0804631 -2.7317553 0.69335938
1.0971111 -1.2506545 0.703125
1.1136353 -1.2488663 0.71289063
1.1297911 -0.81777573 0.72265625
1.1462747 -1.3946742 0.73242188
1.1636568 -2.6155262 0.7421875
1.1795712 -2.3202598 0.75195313
1.1964257 -2.002269 0.76171875
1.2131622 -1.8173456 0.77148438
1.2298224 -1.4611334 0.78125
1.246805  -0.84541738 0.79101563
1.2632931 -2.2020936 0.80078125
1.2799423 -2.5065989 0.81054688
1.2955563 -1.8457323 0.8203125
1.3130182 -2.0112097 0.83007813
1.3296936 -1.3208389 0.83984375
1.3457183 -1.1783838 0.84960938
1.3620747 -2.1123886 0.859375
1.3782886 -2.2681804 0.86914063
1.3956667 -2.3620577 0.87890625
1.4123292 -1.9596517 0.88867188
1.4286026 -1.4587492 0.8984375
1.4453824 -1.2309104 0.90820313
1.4621994 -2.0849705 0.91796875
1.478132  -2.4393945 0.92773438
1.4950165 -2.5924296 0.9375
1.5120983 -2.5152416 0.94726563
1.5284284 -1.9474328 0.95703125
1.5451592 -1.443997 0.96679688
1.5619576 -1.6850978 0.9765625
1.5776665 -1.9738823 0.98632813
1.5945767 -2.0378084 0.99609375
1.6112567 -2.2298098 1.0058594
1.6277105 -1.9217283 1.015625
1.6439122 -0.82291663 1.0253906
1.6610117 -1.3959408 1.0351563
1.6767894 -0.93631446 1.0449219
1.6938269 -2.2399426 1.0546875
1.7111243 -2.7442722 1.0644531
1.727146  -1.77674  1.0742188
1.7436688 -1.8230081 1.0839844
1.7599335 -1.5440583 1.09375
1.7763801 -1.2756139 1.1035156
1.7933794 -1.8300116 1.1132813
1.8093746 -2.9439478 1.1230469
1.8265921 -2.3826213 1.1328125
1.8433164 -1.6866624 1.1425781
1.8595468 -1.3758242 1.1523438
1.8769021 -1.5723705 1.1621094
1.8927194 -1.62296  1.171875
1.9095093 -2.8984249 1.1816406
1.9259212 -2.2632627 1.1914063
1.9429526 -1.6573071 1.2011719
1.9590288 -1.4550239 1.2109375
1.976252  -1.0228157 1.2207031
1.9931597 -1.3694167 1.2304688
2.00946   -2.309531 1.2402344
2.0251486 -2.3330002 1.25
2.0425973 -2.2699685 1.2597656
2.0582595 -1.6907603 1.2695313
2.0754411 -1.2646616 1.2792969
2.0920041 -1.5539676 1.2890625

