MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     3.5097656 s         3/30/2023 9:49:00 AM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
0.000510877 -1.2093782 0.020507813
0.00040186569 -0.65281987 0.030273438
-0.00049141236 0.11302531 0.040039063
0.002218131 3.6708264 0.049804688
0.014050713 17.669127 0.059570313
0.030535668 37.296413 0.069335938
0.047440328 57.722031 0.079101563
0.064480595 78.600868 0.088867188
0.0817592 99.661346 0.098632813
0.098271914 120.1506 0.10839844
0.11431257 139.96729 0.11816406
0.13095638 159.8651 0.12792969
0.14736307 179.07127 0.13769531
0.16332419 197.81567 0.14746094
0.18010132 218.0405 0.15722656
0.19669017 238.12093 0.16699219
0.21350078 257.70755 0.17675781
0.22950311 276.86453 0.18652344
0.24618421 296.18561 0.19628906
0.26261562 314.4458 0.20605469
0.27828741 333.01682 0.21582031
0.29591411 352.86621 0.22558594
0.31221789 372.15234 0.23535156
0.32872218 391.59619 0.24511719
0.345415  410.08707 0.25488281
0.36232162 428.7323 0.26464844
0.37901133 447.33878 0.27441406
0.39444837 465.367  0.28417969
0.41092268 484.99588 0.29394531
0.42745376 504.21237 0.30371094
0.44367808 522.06421 0.31347656
0.46022791 540.42041 0.32324219
0.47740686 558.46002 0.33300781
0.49359465 577.45148 0.34277344
0.51062804 596.50732 0.35253906
0.52720737 615.33063 0.36230469
0.54406452 633.28101 0.37207031
0.55996788 650.77783 0.38183594
0.57620811 668.45569 0.39160156
0.59311473 685.57697 0.40136719
0.60896975 704.18396 0.41113281
0.6255846 722.11462 0.42089844
0.64314705 740.38379 0.43066406
0.65895993 757.61407 0.44042969
0.67500657 774.27338 0.45019531
0.69236922 791.7312 0.45996094
0.70913488 809.71783 0.46972656
0.7259019 826.96851 0.47949219
0.74249244 844.86145 0.48925781
0.75879323 861.12299 0.49902344
0.77610719 878.50726 0.50878906
0.79260045 895.88086 0.51855469
0.80947655 912.01556 0.52832031
0.82653254 929.36334 0.53808594
0.84289539 946.18396 0.54785156
0.8588286 962.29742 0.55761719
0.87566316 978.47516 0.56738281
0.89247793 993.60138 0.57714844
0.90910053 1008.8292 0.58691406
0.92540485 1024.9244 0.59667969
0.94116431 1040.7032 0.60644531
0.95741606 1056.6029 0.61621094
0.97454029 1071.2994 0.62597656
0.99075526 1085.9827 0.63574219
1.0073444 1100.8247 0.64550781
1.0237565 1115.6656 0.65527344
1.0399057 1131.2102 0.66503906
1.0567583 1145.7864 0.67480469
1.0731839 1159.7952 0.68457031
1.0897185 1173.1846 0.69433594
1.105989  1186.131  0.70410156
1.1235634 1200.3606 0.71386719
1.1392734 1213.4208 0.72363281
1.1564558 1226.2793 0.73339844
1.173183  1238.6929 0.74316406
1.1890819 1250.2538 0.75292969
1.2069447 1261.5658 0.76269531
1.2227058 1271.7111 0.77246094
1.2393121 1281.7458 0.78222656
1.2554815 1291.7605 0.79199219
1.2724936 1300.0291 0.80175781
1.2893422 1308.2238 0.81152344
1.3054756 1314.5143 0.82128906
1.3216907 1318.9785 0.83105469
1.3386331 1323.3245 0.84082031
1.3549936 1325.8588 0.85058594
1.3715531 1327.2192 0.86035156
1.3881892 1327.1128 0.87011719
1.4051464 1325.3802 0.87988281
1.4219595 1321.0984 0.88964844
1.4389728 1315.4294 0.89941406
1.4562092 1309.3544 0.90917969
1.4718087 1301.9795 0.91894531
1.4893543 1293.9569 0.92871094
1.5051196 1284.7367 0.93847656
1.5222728 1275.3192 0.94824219
