MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     1.9580078 s         3/30/2023 1:02:03 PM
Data Acquisition: Timed
Station Name: 10504712.cfg
Test File Name: Tracción.tst
Axial Displacement Axial Force Running Time
mm        N         s
-0.00011454104 0.29049814 0.01953125
-0.00059737358 -0.49002469 0.029296875
0.00019493746 -0.55670738 0.0390625
-5.2561518e-05 0.15713274 0.048828125
0.0014075777 1.7062575 0.05859375
0.013922085 9.7884235 0.068359375
0.03048845 21.374821 0.078125
0.04700809 33.208878 0.087890625
0.064741775 44.655128 0.09765625
0.081894107 56.086109 0.10742188
0.099108227 68.659935 0.1171875
0.11587656 80.244469 0.12695313
0.13275179 91.71769 0.13671875
0.14893702 102.92918 0.14648438
0.16648757 113.8901 0.15625
0.18203048 124.24514 0.16601563
0.19876298 135.43666 0.17578125
0.21489057 146.92381 0.18554688
0.23124218 158.54314 0.1953125
0.24751085 169.39954 0.20507813
0.26454324 180.41246 0.21484375
0.28116959 191.06769 0.22460938
0.29676086 201.72476 0.234375
0.31341198 213.3187 0.24414063
0.33038035 224.36046 0.25390625
0.34740153 235.60234 0.26367188
0.3633534 245.48933 0.2734375
0.38035256 256.64896 0.28320313
0.39602554 267.08667 0.29296875
0.41280398 278.00293 0.30273438
0.42901295 288.78058 0.3125
0.44580927 299.30627 0.32226563
0.46284086 310.20447 0.33203125
0.47931275 320.57166 0.34179688
0.495269  331.05804 0.3515625
0.51276964 341.65488 0.36132813
0.52916861 352.64648 0.37109375
0.54505044 362.79492 0.38085938
0.56125861 373.41083 0.390625
0.57804143 383.3063 0.40039063
0.5951826 393.61746 0.41015625
0.61157948 403.45972 0.41992188
0.62700731 413.75757 0.4296875
0.64368123 424.87427 0.43945313
0.66045874 434.77948 0.44921875
0.67802298 445.22546 0.45898438
0.6944949 454.1376  0.46875
0.71121907 464.09055 0.47851563
0.72729617 474.75122 0.48828125
0.74300224 484.85516 0.49804688
0.76023692 495.03189 0.5078125
0.77709615 505.17392 0.51757813
0.79357398 514.39856 0.52734375
0.80991101 523.99481 0.53710938
0.82630259 533.46265 0.546875
0.84312183 543.80334 0.55664063
0.85925949 553.44965 0.56640625
0.87549049 563.22351 0.57617188
0.89293861 571.96271 0.5859375
0.90902823 580.85345 0.59570313
0.92594188 590.59528 0.60546875
0.94247407 600.07477 0.61523438
0.95829993 609.38818 0.625
0.97477126 618.60663 0.63476563
0.99100739 627.40405 0.64453125
1.0089734 636.32764 0.65429688
1.0247401 645.54346 0.6640625
1.0414668 654.44592 0.67382813
1.0582    663.89111 0.68359375
1.0746292 673.10583 0.69335938
1.090852  681.29474 0.703125
1.1076853 689.41827 0.71289063
1.1236525 697.72174 0.72265625
1.140229  706.21967 0.73242188
1.1569036 714.42169 0.7421875
1.1730386 723.01648 0.75195313
1.1898781 731.60254 0.76171875
1.2071068 739.38824 0.77148438
1.2237694 747.17963 0.78125
1.2403654 754.42346 0.79101563
1.257351  762.98199 0.80078125
1.2732502 771.30029 0.81054688
1.2903631 778.78955 0.8203125
1.3072296 786.15674 0.83007813
1.3238168 793.59662 0.83984375
1.3408033 800.86914 0.84960938
1.3576976 808.47791 0.859375
1.3739474 815.44843 0.86914063
1.3903441 823.12006 0.87890625
1.4070536 830.23102 0.88867188
1.4228634 836.56219 0.8984375
1.439737  842.94049 0.90820313
1.4563017 849.25897 0.91796875
1.4729177 855.41675 0.92773438
1.4892166 862.31226 0.9375
1.5054487 868.66022 0.94726563
1.5228106 874.26007 0.95703125
1.5392777 879.05328 0.96679688
